sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,RJ,202501,2280167,0206010044,28.0,2429.0
SIA,RJ,202501,2273276,0206010036,24.0,2082.24
SIA,RJ,202501,3388794,0206030037,21.0,2911.23
SIA,RJ,202501,0215015,0206020023,39.0,3383.25
SIA,RJ,202501,6575900,0206010044,31.0,2689.25
SIA,RJ,202501,2269341,0206020031,45.0,6138.45
SIA,RJ,202501,2269341,0206010044,26.0,2255.5
SIA,RJ,202501,2280183,0206010052,88.0,7634.0
SIA,RJ,202501,2291266,0206030037,328.0,45470.64
SIA,RJ,202501,2269341,0206010079,170.0,16564.8
SIA,RJ,202501,0532886,0208010033,137.0,52480.59
SIA,RJ,202501,2273276,0206030010,20.0,2772.6
SIA,RJ,202501,3388794,0206010079,20.0,1948.8
SIA,RJ,202501,2280167,0211020060,6.0,180.0
SIA,RJ,202501,3348431,0206030010,25.0,3465.75
SIA,RJ,202501,2273489,0211020060,44.0,1320.0
SIA,RJ,202501,2280167,0206010036,7.0,607.32
SIA,RJ,202501,3388794,0206020031,24.0,3273.84
SIA,RJ,202501,9792961,0206010010,5.0,433.8
SIA,RJ,202501,7723296,0211020036,45.0,231.75
SIA,RJ,202501,2269880,0206030037,26.0,3604.38
SIA,RJ,202501,2280299,0211020036,238.0,1225.7
SIA,RJ,202501,2970627,0206010028,23.0,2325.3
SIA,RJ,202501,2970627,0206010036,11.0,954.36
SIA,RJ,202501,2273276,0206010044,14.0,1214.5
SIA,RJ,202501,3388794,0206030010,26.0,3604.38
SIA,RJ,202501,9792961,0206020031,47.0,6411.27
SIA,RJ,202501,9996095,0206030037,7.0,970.41
SIA,RJ,202501,9996095,0206030010,6.0,831.78
SIA,RJ,202501,9996095,0206010079,26.0,2533.44
SIA,RJ,202501,2270285,0211020036,46.0,236.9
SIA,RJ,202501,6927289,0206010010,28.0,2429.28
SIA,RJ,202501,2273276,0206020031,32.0,4365.12
SIA,RJ,202501,2298120,0206030029,46.0,3990.5
SIA,RJ,202501,2280167,0206010028,11.0,1112.1
SIA,RJ,202501,6575900,0206010036,28.0,2429.28
SIA,RJ,202501,2298120,0206010036,11.0,954.36
SIA,RJ,202501,7065515,0206030037,57.0,7901.91
SIA,RJ,202501,7267975,0206010079,195.0,19000.8
SIA,RJ,202501,6716938,0211020036,953.0,4907.95
SIA,RJ,202501,2273276,0206020015,68.0,5899.0
SIA,RJ,202501,2291266,0206020031,122.0,16642.02
SIA,RJ,202501,2270609,0206010036,30.0,2602.8
SIA,RJ,202501,2269988,0206020023,6.0,520.5
SIA,RJ,202501,6631169,0211020036,560.0,2884.0
SIA,RJ,202501,2269554,0206010036,36.0,3123.36
SIA,RJ,202501,3348431,0206030037,25.0,3465.75
SIA,RJ,202501,7584342,0206010010,5.0,433.8
SIA,RJ,202501,2291266,0206010044,18.0,1561.5
SIA,RJ,202501,6487815,0211020036,427.0,2199.05
SIA,RJ,202501,4269535,0211020036,13.0,66.95
SIA,RJ,202501,7065515,0211020036,60.0,309.0
SIA,RJ,202501,2280167,0206010010,4.0,347.04
SIA,RJ,202501,6927289,0206010036,19.0,1648.44
SIA,RJ,202501,2291266,0206030029,12.0,1041.0
SIA,RJ,202501,6029841,0211020036,50.0,257.5
SIA,RJ,202501,2970627,0206030029,2.0,173.5
SIA,RJ,202501,6389317,0206010079,55.0,5359.2
SIA,RJ,202501,2273411,0206030010,16.0,2218.08
SIA,RJ,202501,2970627,0206020023,16.0,1388.0
SIA,RJ,202501,2273454,0206010052,107.0,9282.25
SIA,RJ,202501,7584342,0206020031,2.0,272.82
SIA,RJ,202501,2291266,0206010010,16.0,1388.16
SIA,RJ,202501,2280167,0206010052,9.0,780.75
SIA,RJ,202501,2270609,0206010052,22.0,1908.5
SIA,RJ,202501,2273454,0206010036,8.0,694.08
SIA,RJ,202501,2273454,0206010028,11.0,1112.1
SIA,RJ,202501,2273454,0206020015,1.0,86.75
SIA,RJ,202501,2298120,0206010052,16.0,1388.0
SIA,RJ,202501,2291266,0206010052,8.0,694.0
SIA,RJ,202501,2269988,0206030010,12.0,1663.56
SIA,RJ,202501,2270609,0211020036,37.0,190.55
SIA,RJ,202501,2269554,0206030029,19.0,1648.25
SIA,RJ,202501,2280167,0206020015,7.0,607.25
SIA,RJ,202501,2970627,0206010010,38.0,3296.88
SIA,RJ,202501,2273454,0206020023,10.0,867.5
SIA,RJ,202501,0215015,0206010044,17.0,1474.75
SIA,RJ,202501,2270609,0206020023,50.0,4337.5
SIA,RJ,202501,2273659,0211020036,218.0,1122.7
SIA,RJ,202501,2273659,0206030010,108.0,14972.04
SIA,RJ,202501,2273659,0206030037,29.0,4020.27
SIA,RJ,202501,2273659,0206020031,76.0,10367.16
SIA,RJ,202501,3178447,0208010033,57.0,21834.99
SIA,RJ,202501,3178447,0208010025,57.0,23285.64
SIA,RJ,202501,6926177,0211020036,471.0,2425.65
SIA,RJ,202501,6927289,0206010044,17.0,1474.75
SIA,RJ,202501,9307265,0211020036,163.0,839.45
SIA,RJ,202501,9160876,0211020036,602.0,3100.3
SIA,RJ,202501,5717256,0206010036,23.0,1995.48
SIA,RJ,202501,5717256,0206030037,630.0,87336.9
SIA,RJ,202501,5717256,0206030010,609.0,84425.67
SIA,RJ,202501,5717256,0211020036,1378.0,7096.7
SIA,RJ,202501,2273454,0206010079,55.0,5359.2
SIA,RJ,202501,2273411,0206020031,10.0,1364.1
SIA,RJ,202501,2708167,0211020036,41.0,211.15
SIA,RJ,202501,2298120,0206010028,41.0,4145.1
SIA,RJ,202501,7166494,0206010079,404.0,39365.76
SIA,RJ,202501,7166494,0206020031,276.0,37649.16
SIA,RJ,202501,7166494,0206030010,648.0,89832.24
SIA,RJ,202501,7166494,0206030037,657.0,91079.91
SIA,RJ,202501,9792961,0206010028,4.0,404.4
SIA,RJ,202501,2970627,0206010060,2.0,194.88
SIA,RJ,202501,5717256,0206020023,92.0,7981.0
