preco,R$,delta_nec_mix medio SIA,delta_nec_mix NATS,delta_nec_cintilografia
TC torax + contraste (proxy SIGTAP),196.41,1.5000404579707463,-16.483052828542665,-80.86360638922224
Demandante,550.0,49.927482499054264,31.94438921254085,-32.43616434813873
Microcusteio 2022 corrigido,622.54,59.86251076812352,41.879417481610105,-22.50113607906948
CBHPM 2026,1311.95,154.28362793077912,136.3005346442657,71.91998108358612
