sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,AC,202501,2000393,0211020036,13.0,66.95
SIA,AC,202501,6861849,0206020031,1406.0,191792.46
SIA,AC,202501,6861849,0206010010,181.0,15703.56
SIA,AC,202501,6861849,0206010079,1271.0,123846.24
SIA,AC,202501,6861849,0206030037,867.0,120192.21
SIA,AC,202501,6861849,0206030010,853.0,118251.39
SIA,AC,202501,6861849,0206010044,153.0,13272.75
SIA,AC,202501,6861849,0206030029,117.0,10149.75
SIA,AC,202501,6861849,0206010028,246.0,24870.6
SIA,AC,202501,6861849,0206010036,141.0,12233.16
SIA,AC,202501,6861849,0206010060,8.0,779.52
SIA,AC,202501,6861849,0206010052,53.0,4597.75
SIA,AC,202501,6861849,0206020023,8.0,694.0
SIA,AC,202501,6861849,0206020015,36.0,3123.0
SIA,AC,202501,2002078,0211020010,28.0,20441.12
SIA,AC,202501,2001578,0206010079,596.0,58074.24
SIA,AC,202501,2001578,0206020031,319.0,43514.79
SIA,AC,202501,2001578,0206030010,257.0,35627.91
SIA,AC,202501,2001578,0206030029,37.0,3209.75
SIA,AC,202501,2001578,0206010010,56.0,4858.56
SIA,AC,202501,2001578,0206030037,260.0,36043.8
SIA,AC,202501,2001578,0206010028,43.0,4347.3
SIA,AC,202501,2001578,0206010036,36.0,3123.36
SIA,AC,202501,2001578,0206020015,12.0,1041.0
SIA,AC,202501,2001578,0206010044,59.0,5118.25
SIA,AC,202501,2001578,0206020023,12.0,1041.0
SIA,AC,202501,2000075,0211020036,135.0,695.25
SIA,AC,202501,2001586,0206010052,9.0,780.75
SIA,AC,202501,2001586,0206010028,2.0,202.2
SIA,AC,202501,2001586,0206020031,23.0,3137.43
SIA,AC,202501,2001578,0211020036,585.0,3012.75
SIA,AC,202501,2001586,0206030037,17.0,2356.71
SIA,AC,202501,2001586,0206030010,10.0,1386.3
SIA,AC,202501,2001586,0206010079,11.0,1071.84
SIA,AC,202501,2001527,0211020036,35.0,180.25
SIA,AC,202501,2001578,0206010052,5.0,433.75
SIA,AC,202501,2001586,0211020036,873.0,4495.95
SIA,AC,202501,2001586,0211020060,89.0,2670.0
SIA,AC,202501,2002566,0211020036,12.0,61.8
SIA,AC,202501,2001500,0206020031,42.0,5729.22
