sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,MG,202501,2127679,0211020036,136.0,700.4
SIA,MG,202501,2109867,0206030037,98.0,19600.0
SIA,MG,202501,2193310,0206010079,215.0,20949.6
SIA,MG,202501,2695626,0206020031,95.0,12958.95
SIA,MG,202501,2695626,0206030010,67.0,9288.21
SIA,MG,202501,2695626,0206010052,10.0,867.5
SIA,MG,202501,2153114,0206030010,40.0,5545.2
SIA,MG,202501,7455038,0211020036,589.0,3033.35
SIA,MG,202501,7954212,0211020036,1410.0,7261.5
SIA,MG,202501,0026840,0206030010,254.0,35212.02
SIA,MG,202501,2127601,0205010016,0.0,0.0
SIA,MG,202501,2200457,0206010010,29.0,2516.04
SIA,MG,202501,2118661,0206010079,81.0,7892.64
SIA,MG,202501,2118661,0211020036,197.0,1014.55
SIA,MG,202501,4034236,0206030010,147.0,20378.61
SIA,MG,202501,2695626,0206030037,60.0,8317.8
SIA,MG,202501,2695626,0206010079,96.0,9354.24
SIA,MG,202501,2695626,0206010044,8.0,694.0
SIA,MG,202501,4034236,0206010010,21.0,1821.96
SIA,MG,202501,2200457,0206010052,133.0,11537.75
SIA,MG,202501,2118661,0206010052,70.0,6072.5
SIA,MG,202501,2118661,0206030010,245.0,33964.35
SIA,MG,202501,2109867,0206010010,51.0,4424.76
SIA,MG,202501,2193310,0211020036,45.0,231.75
SIA,MG,202501,2193310,0206030037,110.0,15249.3
SIA,MG,202501,2193310,0206020031,80.0,10912.8
SIA,MG,202501,2193310,0206030029,5.0,433.75
SIA,MG,202501,0026840,0208010033,157.0,60141.99
SIA,MG,202501,0026840,0211020036,370.0,1905.5
SIA,MG,202501,2118661,0206020031,329.0,44878.89
SIA,MG,202501,4034236,0206010044,72.0,6246.0
SIA,MG,202501,4034236,0211020036,248.0,1277.2
SIA,MG,202501,4034236,0206010079,118.0,11497.92
SIA,MG,202501,7728786,0206030037,36.0,4990.68
SIA,MG,202501,2193310,0206030010,104.0,14417.52
SIA,MG,202501,2109867,0206010079,332.0,66400.0
SIA,MG,202501,2109867,0211020036,35.0,180.25
SIA,MG,202501,2200457,0206030010,738.0,102308.94
SIA,MG,202501,2118661,0206010028,21.0,2123.1
SIA,MG,202501,2200457,0206020031,825.0,112538.25
SIA,MG,202501,2200457,0206030037,776.0,107576.88
SIA,MG,202501,2153114,0206020031,59.0,8048.19
SIA,MG,202501,7954212,0206010079,43.0,4189.92
SIA,MG,202501,2153114,0206030037,57.0,7901.91
SIA,MG,202501,2153025,0206020031,38.0,5183.58
SIA,MG,202501,2153025,0206030010,39.0,5406.57
SIA,MG,202501,0026840,0206020031,359.0,48971.19
SIA,MG,202501,0026840,0211020060,58.0,1740.0
SIA,MG,202501,2153114,0205010016,5.0,825.0
SIA,MG,202501,7093284,0211020036,412.0,2121.8
SIA,MG,202501,2098938,0211020036,377.0,1941.55
SIA,MG,202501,2098938,0206010079,34.0,3312.96
SIA,MG,202501,2098938,0206020031,136.0,18551.76
SIA,MG,202501,2098938,0206030037,110.0,15249.3
SIA,MG,202501,2726726,0206030037,29.0,4020.27
SIA,MG,202501,7728786,0206030010,41.0,5683.83
SIA,MG,202501,2726726,0206010028,2.0,202.2
SIA,MG,202501,2127601,0206010079,0.0,0.0
SIA,MG,202501,7728786,0206010079,62.0,6041.28
SIA,MG,202501,2118661,0206030037,190.0,26339.7
SIA,MG,202501,5013739,0211020036,21.0,108.15
SIA,MG,202501,5013739,0211020060,133.0,3990.0
SIA,MG,202501,2200457,0211020036,476.0,2451.4
SIA,MG,202501,2115654,0211020036,87.0,448.05
SIA,MG,202501,4034236,0206030037,139.0,19269.57
SIA,MG,202501,2200457,0206010079,174.0,16954.56
SIA,MG,202501,4034236,0211020060,109.0,3270.0
SIA,MG,202501,2098938,0206030010,137.0,18992.31
SIA,MG,202501,2726726,0206010044,16.0,1388.0
SIA,MG,202501,0026840,0206010044,69.0,5985.75
SIA,MG,202501,0026840,0208010025,156.0,63729.12
SIA,MG,202501,0026840,0206010079,55.0,5359.2
SIA,MG,202501,0026840,0206030037,268.0,37152.84
SIA,MG,202501,2109867,0206020015,11.0,954.25
SIA,MG,202501,2200457,0206010036,35.0,3036.6
SIA,MG,202501,2098938,0206010028,5.0,505.5
SIA,MG,202501,2098938,0206010044,8.0,694.0
SIA,MG,202501,2109867,0206030010,97.0,19400.0
SIA,MG,202501,2109867,0206010028,54.0,10800.0
SIA,MG,202501,2109867,0206030029,10.0,867.5
SIA,MG,202501,2109867,0206010036,19.0,3800.0
SIA,MG,202501,2118661,0206010010,7.0,607.32
SIA,MG,202501,2125943,0211020060,61.0,1830.0
SIA,MG,202501,2153106,0206010079,12.0,1169.28
SIA,MG,202501,2153106,0206030037,63.0,8733.69
SIA,MG,202501,9141839,0206010044,32.0,2776.0
SIA,MG,202501,9141839,0206010079,271.0,26406.24
SIA,MG,202501,2195585,0211020036,172.0,885.8
SIA,MG,202501,2165058,0206030010,218.0,30221.34
SIA,MG,202501,2165058,0206010036,11.0,954.36
SIA,MG,202501,2193310,0206010028,22.0,2224.2
SIA,MG,202501,2165058,0206020031,226.0,30828.66
SIA,MG,202501,2210924,0206010079,61.0,5943.84
SIA,MG,202501,2695677,0211020036,11.0,56.65
SIA,MG,202501,7903782,0211020036,81.0,417.15
SIA,MG,202501,2153106,0206010044,7.0,607.25
SIA,MG,202501,2210924,0206020015,12.0,1041.0
SIA,MG,202501,4034236,0206020031,151.0,20597.91
SIA,MG,202501,2759292,0211020036,194.0,999.1
SIA,MG,202501,3065936,0206020031,132.0,18006.12
SIA,MG,202501,2153106,0206010052,25.0,2168.75
SIA,MG,202501,3065936,0206030037,96.0,13308.48
SIA,MG,202501,3065936,0206010044,160.0,13880.0
SIA,MG,202501,3183882,0211020036,259.0,1333.85
SIA,MG,202501,9141839,0206030037,126.0,17467.38
SIA,MG,202501,3183882,0211020060,229.0,6870.0
SIA,MG,202501,0027014,0206010052,75.0,6506.25
SIA,MG,202501,2165058,0206020023,24.0,2082.0
SIA,MG,202501,2098938,0208010033,43.0,16472.01
SIA,MG,202501,2118882,0211020036,99.0,509.85
SIA,MG,202501,0027014,0206010028,12.0,1213.2
SIA,MG,202501,0027014,0206030037,409.0,56699.67
SIA,MG,202501,0027014,0206010044,25.0,2168.75
SIA,MG,202501,0027014,0206020031,551.0,75161.91
SIA,MG,202501,0027014,0206030010,442.0,61274.46
SIA,MG,202501,2165058,0206010079,102.0,9938.88
SIA,MG,202501,2165058,0206010052,34.0,2949.5
SIA,MG,202501,2726726,0206010079,41.0,3995.04
SIA,MG,202501,7581645,0208010025,18.0,7353.36
SIA,MG,202501,2165058,0211020036,65.0,334.75
SIA,MG,202501,0027014,0211020036,513.0,2641.95
SIA,MG,202501,9141839,0206030010,128.0,17744.64
SIA,MG,202501,9141839,0206020015,16.0,1388.0
SIA,MG,202501,2125943,0211020036,143.0,736.45
SIA,MG,202501,5013739,0205010016,8.0,1320.0
SIA,MG,202501,0027014,0206010079,98.0,9549.12
SIA,MG,202501,2200457,0206010044,63.0,5465.25
SIA,MG,202501,7954212,0211020060,49.0,1470.0
SIA,MG,202501,2165058,0208010025,35.0,14298.2
SIA,MG,202501,2165058,0208010033,35.0,13407.45
SIA,MG,202501,2759292,0206010044,2.0,173.5
SIA,MG,202501,2109867,0206020031,56.0,11200.0
SIA,MG,202501,2153106,0206030010,54.0,7486.02
SIA,MG,202501,6457177,0211020036,115.0,592.25
SIA,MG,202501,2195585,0206020031,7.0,954.87
SIA,MG,202501,3065936,0206010079,127.0,12374.88
SIA,MG,202501,0027014,0211020060,170.0,5100.0
SIA,MG,202501,3065936,0206030029,5.0,433.75
SIA,MG,202501,3065936,0206030010,108.0,14972.04
SIA,MG,202501,2200457,0206010028,53.0,5358.3
SIA,MG,202501,2153106,0206020031,66.0,9003.06
SIA,MG,202501,2165058,0206010044,21.0,1821.75
SIA,MG,202501,2165058,0206030037,225.0,31191.75
SIA,MG,202501,2153114,0206010044,8.0,694.0
SIA,MG,202501,2153114,0206010052,8.0,694.0
SIA,MG,202501,9141839,0206020023,13.0,1127.75
SIA,MG,202501,2195585,0211020060,3.0,90.0
SIA,MG,202501,9141839,0206020031,54.0,7366.14
SIA,MG,202501,9141839,0206010028,30.0,3033.0
SIA,MG,202501,2726726,0206010010,17.0,1474.92
SIA,MG,202501,2153106,0206010028,3.0,303.3
SIA,MG,202501,2759292,0206020031,3.0,409.23
SIA,MG,202501,2726726,0206030010,29.0,4020.27
SIA,MG,202501,9141839,0211020036,60.0,309.0
SIA,MG,202501,2118661,0206010044,24.0,2082.0
SIA,MG,202501,2195585,0206010079,39.0,3800.16
SIA,MG,202501,2726726,0206020031,22.0,3001.02
SIA,MG,202501,2153025,0206030037,46.0,6376.98
SIA,MG,202501,3065936,0206010028,11.0,1112.1
SIA,MG,202501,2165058,0206010028,17.0,1718.7
SIA,MG,202501,2195585,0206030010,16.0,2218.08
SIA,MG,202501,2127601,0206030010,0.0,0.0
SIA,MG,202501,0026840,0206010052,83.0,7200.25
SIA,MG,202501,3183882,0205010016,11.0,1815.0
SIA,MG,202501,2118661,0206010036,10.0,867.6
SIA,MG,202501,9141839,0206010060,3.0,292.32
SIA,MG,202501,2153106,0206010036,2.0,173.52
SIA,MG,202501,2118661,0211020060,14.0,420.0
SIA,MG,202501,9141839,0206010010,18.0,1561.68
SIA,MG,202501,6442560,0206030037,9.0,1247.67
SIA,MG,202501,2193310,0206020015,6.0,520.5
SIA,MG,202501,3065936,0206010010,11.0,954.36
SIA,MG,202501,2098938,0208010025,43.0,17566.36
SIA,MG,202501,0027014,0206010010,10.0,867.6
SIA,MG,202501,2726726,0206010052,3.0,260.25
SIA,MG,202501,2695626,0206020023,5.0,433.75
SIA,MG,202501,7728786,0206020031,44.0,6002.04
SIA,MG,202501,2193310,0206010010,6.0,520.56
SIA,MG,202501,9141839,0206030029,9.0,780.75
SIA,MG,202501,0026840,0206030029,4.0,347.0
SIA,MG,202501,4034236,0206010036,19.0,1648.44
SIA,MG,202501,4034236,0206010028,26.0,2628.6
SIA,MG,202501,7866801,0206030037,117.0,16219.71
SIA,MG,202501,2695324,0206030037,567.0,78603.21
SIA,MG,202501,2126346,0206010052,7.0,607.25
SIA,MG,202501,2759292,0206030037,3.0,415.89
SIA,MG,202501,2165058,0206010010,5.0,433.8
