sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,CE,202501,2806215,0206010079,200.0,19488.0
SIA,CE,202501,2806215,0206030010,230.0,31884.9
SIA,CE,202501,2806215,0206010044,15.0,1301.25
SIA,CE,202501,2806215,0206030037,199.0,27587.37
SIA,CE,202501,2675560,0206030037,56.0,7763.28
SIA,CE,202501,2479214,0206020031,442.0,60293.22
SIA,CE,202501,2425300,0211020036,1247.0,6422.05
SIA,CE,202501,2479214,0206010044,29.0,2515.75
SIA,CE,202501,2820234,0208010033,34.0,13024.38
SIA,CE,202501,2426579,0206010079,307.0,29914.08
SIA,CE,202501,2426579,0206020031,75.0,10230.75
SIA,CE,202501,2561026,0206030010,33.0,4574.79
SIA,CE,202501,2675560,0206010079,96.0,9354.24
SIA,CE,202501,2426579,0206010036,18.0,1561.68
SIA,CE,202501,2806215,0206010028,75.0,7582.5
SIA,CE,202501,2560852,0206010028,57.0,5762.7
SIA,CE,202501,2426579,0206010028,100.0,10110.0
SIA,CE,202501,2426579,0206030037,108.0,14972.04
SIA,CE,202501,2426579,0206030010,116.0,16081.08
SIA,CE,202501,2328011,0206030029,5.0,433.75
SIA,CE,202501,2560852,0206010079,90.0,8769.6
SIA,CE,202501,2479214,0206010079,90.0,8769.6
SIA,CE,202501,7386257,0206010079,2.0,194.88
SIA,CE,202501,9672427,0206030037,191.0,26478.33
SIA,CE,202501,2426579,0206010010,15.0,1301.4
SIA,CE,202501,2328011,0206010079,38.0,3702.72
SIA,CE,202501,2479214,0206030010,61.0,8456.43
SIA,CE,202501,2563681,0206010079,155.0,15103.2
SIA,CE,202501,9672427,0206030010,180.0,24953.4
SIA,CE,202501,7382626,0206010010,49.0,4251.24
SIA,CE,202501,7382626,0206010028,137.0,13850.7
SIA,CE,202501,9672427,0206020031,182.0,24826.62
SIA,CE,202501,7382626,0206010079,93.0,9061.92
SIA,CE,202501,9672427,0206010079,341.0,33227.04
SIA,CE,202501,7382626,0206030010,48.0,6654.24
SIA,CE,202501,2528843,0206010079,27.0,2630.88
SIA,CE,202501,7382626,0206020031,32.0,4365.12
SIA,CE,202501,2806215,0206020031,84.0,11458.44
SIA,CE,202501,2561344,0211020036,20.0,103.0
SIA,CE,202501,2373971,0206010079,168.0,16369.92
SIA,CE,202501,9672427,0206010010,64.0,5552.64
SIA,CE,202501,2563681,0206010044,24.0,2082.0
SIA,CE,202501,2563681,0206030010,60.0,8317.8
SIA,CE,202501,9672427,0206010044,92.0,7981.0
SIA,CE,202501,2373971,0206010028,89.0,8997.9
SIA,CE,202501,9672427,0206020015,13.0,1127.75
SIA,CE,202501,9672427,0206010028,91.0,9200.1
SIA,CE,202501,3541428,0206030029,5.0,433.75
SIA,CE,202501,3541428,0206010028,49.0,4953.9
SIA,CE,202501,2528843,0206010044,12.0,1041.0
SIA,CE,202501,2373971,0206030037,20.0,2772.6
SIA,CE,202501,9672427,0206010036,21.0,1821.96
SIA,CE,202501,2425343,0211020036,90.0,463.5
SIA,CE,202501,2561336,0211020036,56.0,288.4
SIA,CE,202501,2373971,0206020031,25.0,3410.25
SIA,CE,202501,2561026,0206030037,45.0,6238.35
SIA,CE,202501,2563681,0206030029,10.0,867.5
SIA,CE,202501,2806215,0206030029,8.0,694.0
SIA,CE,202501,2373971,0206010052,41.0,3556.75
SIA,CE,202501,2806215,0206010036,12.0,1041.12
SIA,CE,202501,2561026,0206030029,7.0,607.25
SIA,CE,202501,3541428,0206030010,25.0,3465.75
SIA,CE,202501,2328011,0206030037,10.0,1386.3
SIA,CE,202501,2560852,0206030037,10.0,1386.3
SIA,CE,202501,3541428,0206010010,21.0,1821.96
SIA,CE,202501,0107239,0211020036,80.0,412.0
SIA,CE,202501,2561026,0206010079,37.0,3605.28
SIA,CE,202501,2328011,0206010028,33.0,3336.3
SIA,CE,202501,2561026,0206010010,22.0,1908.72
SIA,CE,202501,2561026,0206020031,12.0,1636.92
SIA,CE,202501,2675560,0206010010,16.0,1388.16
SIA,CE,202501,2561026,0206020015,3.0,260.25
SIA,CE,202501,2563681,0206020031,55.0,7502.55
SIA,CE,202501,2563681,0206030037,65.0,9010.95
SIA,CE,202501,7382626,0206030037,52.0,7208.76
SIA,CE,202501,2561026,0206010044,9.0,780.75
SIA,CE,202501,2561026,0206010028,51.0,5156.1
SIA,CE,202501,2664690,0211020036,124.0,638.6
SIA,CE,202501,9672427,0206010052,13.0,1127.75
SIA,CE,202501,2516632,0211020036,16.0,82.4
SIA,CE,202501,3541428,0206030037,26.0,3604.38
SIA,CE,202501,2426579,0206030029,22.0,1908.5
SIA,CE,202501,9672427,0206030029,23.0,1995.25
SIA,CE,202501,7382626,0206010044,9.0,780.75
SIA,CE,202501,2806215,0206010052,4.0,347.0
SIA,CE,202501,2328011,0206010036,8.0,694.08
SIA,CE,202501,2563681,0206010010,6.0,520.56
SIA,CE,202501,2425300,0205010016,14.0,2310.0
SIA,CE,202501,9672427,0206020023,28.0,2429.0
SIA,CE,202501,2528843,0206030010,2.0,277.26
SIA,CE,202501,2675560,0206010044,10.0,867.5
SIA,CE,202501,2479214,0206010028,7.0,707.7
SIA,CE,202501,7382626,0206030029,11.0,954.25
SIA,CE,202501,7021437,0211020036,245.0,1261.75
SIA,CE,202501,7061021,0206030010,81.0,11229.03
SIA,CE,202501,2497654,0206030037,368.0,51015.84
SIA,CE,202501,2497654,0206010079,493.0,48037.92
SIA,CE,202501,2497654,0206030010,527.0,73058.01
SIA,CE,202501,2497654,0206010010,36.0,3123.36
SIA,CE,202501,7061021,0206010079,138.0,13446.72
SIA,CE,202501,2497654,0206020031,308.0,42014.28
SIA,CE,202501,2561417,0206010079,111.0,10815.84
SIA,CE,202501,7061021,0206010052,4.0,347.0
SIA,CE,202501,2372967,0206030037,32.0,4436.16
SIA,CE,202501,2526638,0206010079,92.0,8964.48
SIA,CE,202501,2372967,0206010028,7.0,707.7
SIA,CE,202501,2372967,0206030010,26.0,3604.38
SIA,CE,202501,2526638,0206010044,43.0,3730.25
SIA,CE,202501,2373971,0206010010,46.0,3990.96
SIA,CE,202501,2526638,0206010028,40.0,4044.0
SIA,CE,202501,2497654,0206010036,11.0,954.36
SIA,CE,202501,2497654,0206010044,59.0,5118.25
SIA,CE,202501,7061021,0206010044,41.0,3556.75
SIA,CE,202501,2560852,0206020031,22.0,3001.02
SIA,CE,202501,2560852,0206030010,16.0,2218.08
SIA,CE,202501,2560852,0206010044,5.0,433.75
SIA,CE,202501,2560984,0206010079,1.0,97.44
SIA,CE,202501,2526638,0206030010,27.0,3743.01
SIA,CE,202501,2561417,0206020031,93.0,12686.13
SIA,CE,202501,2561417,0206010028,19.0,1920.9
SIA,CE,202501,2372967,0206020023,5.0,433.75
SIA,CE,202501,7061021,0206030037,87.0,12060.81
SIA,CE,202501,2528843,0206030037,1.0,138.63
SIA,CE,202501,6619908,0211020036,48.0,247.2
