sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,BA,202501,7094647,0206020031,15.0,2046.15
SIA,BA,202501,2487756,0211020060,63.0,1890.0
SIA,BA,202501,3271110,0206020031,40.0,5456.4
SIA,BA,202501,2415844,0206010044,2.0,173.5
SIA,BA,202501,0829781,0206020015,18.0,1561.5
SIA,BA,202501,2862301,0206010010,7.0,607.32
SIA,BA,202501,2514311,0211020036,32.0,164.8
SIA,BA,202501,0003859,0206030029,2.0,173.5
SIA,BA,202501,4145542,0206010079,78.0,7600.32
SIA,BA,202501,4598334,0211020036,1200.0,6180.0
SIA,BA,202501,3968537,0206030010,15.0,2079.45
SIA,BA,202501,3972925,0206020031,106.0,14459.46
SIA,BA,202501,2799758,0206020015,8.0,694.0
SIA,BA,202501,9007148,0211020036,1283.0,6607.45
SIA,BA,202501,9837841,0206010079,62.0,6041.28
SIA,BA,202501,4028155,0206030037,208.0,28835.04
SIA,BA,202501,2386569,0206010010,17.0,1474.92
SIA,BA,202501,2385015,0208010025,77.0,31456.04
SIA,BA,202501,3972925,0206010036,9.0,780.84
SIA,BA,202501,0003859,0206010044,9.0,780.75
SIA,BA,202501,3972925,0206030029,19.0,1648.25
SIA,BA,202501,4145542,0206010044,18.0,1561.5
SIA,BA,202501,2862301,0206010028,3.0,303.3
SIA,BA,202501,0003859,0206010028,5.0,505.5
SIA,BA,202501,7675135,0206010044,2.0,173.5
SIA,BA,202501,2799758,0206020023,35.0,3036.25
SIA,BA,202501,9372822,0206010010,35.0,3036.6
SIA,BA,202501,2799286,0211020036,209.0,1076.35
SIA,BA,202501,0884189,0206020031,48.0,6547.68
SIA,BA,202501,4145542,0206010036,1.0,86.76
SIA,BA,202501,4145542,0206030037,54.0,7486.02
SIA,BA,202501,4028155,0206030029,10.0,867.5
SIA,BA,202501,9837841,0206010028,17.0,1718.7
SIA,BA,202501,2385015,0208010033,73.0,27964.11
SIA,BA,202501,7092776,0211020060,10.0,300.0
SIA,BA,202501,2799758,0206010036,40.0,3470.4
SIA,BA,202501,2386569,0206010028,20.0,2022.0
SIA,BA,202501,2386569,0206030029,11.0,954.25
SIA,BA,202501,2627418,0206010028,23.0,2325.3
SIA,BA,202501,2913348,0206010028,30.0,3033.0
SIA,BA,202501,0003816,0206030010,85.0,11783.55
SIA,BA,202501,0003816,0206010079,22.0,2143.68
SIA,BA,202501,0004294,0206030029,74.0,6419.5
SIA,BA,202501,3968537,0206030029,2.0,173.5
SIA,BA,202501,7094647,0206010079,12.0,1169.28
SIA,BA,202501,0004294,0206010052,43.0,3730.25
SIA,BA,202501,7094647,0206010028,1.0,101.1
SIA,BA,202501,9837841,0206010036,4.0,347.04
SIA,BA,202501,9837841,0211020036,76.0,391.4
SIA,BA,202501,4145542,0211020060,38.0,1140.0
SIA,BA,202501,0884189,0206010044,38.0,3296.5
SIA,BA,202501,2388057,0206030029,32.0,2776.0
SIA,BA,202501,9372822,0211020060,47.0,1410.0
SIA,BA,202501,9372822,0206020031,79.0,10776.39
SIA,BA,202501,0003816,0206010010,8.0,694.08
SIA,BA,202501,0003816,0206010052,12.0,1041.0
SIA,BA,202501,0003816,0206010044,31.0,2689.25
SIA,BA,202501,7596871,0211020036,227.0,1169.05
SIA,BA,202501,9383298,0206030037,23.0,3188.49
SIA,BA,202501,2799286,0206030037,8.0,1109.04
SIA,BA,202501,2627418,0206010010,7.0,607.32
SIA,BA,202501,7675135,0206010079,2.0,194.88
SIA,BA,202501,2415844,0206010079,4.0,389.76
SIA,BA,202501,2799758,0206030029,5.0,433.75
SIA,BA,202501,4028155,0206010044,8.0,694.0
SIA,BA,202501,9372822,0206030029,25.0,2168.75
SIA,BA,202501,3972925,0206010010,20.0,1735.2
SIA,BA,202501,0829781,0206010052,20.0,1735.0
SIA,BA,202501,9383298,0206010028,6.0,606.6
SIA,BA,202501,9383298,0206010044,10.0,867.5
SIA,BA,202501,0829781,0206010036,13.0,1127.88
SIA,BA,202501,2862301,0206020031,5.0,682.05
SIA,BA,202501,4024222,0211020036,26.0,133.9
SIA,BA,202501,6988474,0211020036,11.0,56.65
SIA,BA,202501,2799286,0206030010,11.0,1524.93
SIA,BA,202501,9837841,0206020031,14.0,1909.74
SIA,BA,202501,9837841,0206020015,7.0,607.25
SIA,BA,202501,2799758,0206010052,3.0,260.25
SIA,BA,202501,2862301,0206020023,2.0,173.5
SIA,BA,202501,0884189,0206030010,55.0,7624.65
SIA,BA,202501,2388057,0206020023,21.0,1821.75
SIA,BA,202501,3271110,0206010010,8.0,694.08
SIA,BA,202501,0006564,0211020036,67.0,345.05
SIA,BA,202501,9837841,0206030037,20.0,2772.6
SIA,BA,202501,9383298,0206020031,15.0,2046.15
SIA,BA,202501,9837841,0211020060,23.0,690.0
SIA,BA,202501,2801507,0206010044,4.0,347.0
SIA,BA,202501,2627418,0206010052,4.0,347.0
SIA,BA,202501,2386569,0206010044,13.0,1127.75
SIA,BA,202501,3271110,0206010044,7.0,607.25
SIA,BA,202501,3972925,0206010028,12.0,1213.2
SIA,BA,202501,2799286,0206010079,3.0,292.32
SIA,BA,202501,2799820,0211020036,48.0,247.2
SIA,BA,202501,0884189,0206010028,16.0,1617.6
SIA,BA,202501,2557088,0211020036,43.0,221.45
SIA,BA,202501,3893170,0211020036,11.0,56.65
SIA,BA,202501,9383298,0206010036,9.0,780.84
SIA,BA,202501,9052844,0206020031,4.0,1480.0
SIA,BA,202501,0204595,0211020036,913.0,4701.95
SIA,BA,202501,0884189,0206010036,4.0,347.04
SIA,BA,202501,3271110,0206030037,9.0,1247.67
SIA,BA,202501,7945671,0211020036,238.0,1225.7
SIA,BA,202501,3972925,0206010052,4.0,347.0
SIA,BA,202501,2862301,0206030010,13.0,1802.19
SIA,BA,202501,9372822,0206010036,6.0,520.56
SIA,BA,202501,0884189,0206010052,5.0,433.75
SIA,BA,202501,3271110,0206010052,5.0,433.75
SIA,BA,202501,9837841,0206030029,4.0,347.0
SIA,BA,202501,4028155,0211020036,450.0,2317.5
SIA,BA,202501,4028155,0206010028,5.0,505.5
SIA,BA,202501,0786608,0206010052,4.0,347.0
SIA,BA,202501,0003859,0206010010,1.0,86.76
SIA,BA,202501,0003859,0206010036,2.0,173.52
SIA,BA,202501,4145542,0206010010,3.0,260.28
SIA,BA,202501,2414465,0211020036,29.0,149.35
SIA,BA,202501,2387042,0211020036,90.0,463.5
SIA,BA,202501,2301687,0211020036,244.0,1256.6
SIA,BA,202501,2388057,0211020036,461.0,2374.15
SIA,BA,202501,4028155,0206020015,6.0,520.5
SIA,BA,202501,7094647,0206010052,1.0,86.75
SIA,BA,202501,9372822,0206010052,11.0,954.25
SIA,BA,202501,2507447,0206010079,1.0,220.0
SIA,BA,202501,9383298,0206010010,17.0,1474.92
SIA,BA,202501,0003859,0206020015,6.0,520.5
SIA,BA,202501,2913348,0206020015,3.0,260.25
SIA,BA,202501,2415844,0206030010,2.0,277.26
SIA,BA,202501,0003816,0206030037,70.0,9704.1
SIA,BA,202501,7037880,0211020036,5.0,25.75
SIA,BA,202501,3956369,0211020036,199.0,1024.85
SIA,BA,202501,2487756,0206010079,2.0,194.88
SIA,BA,202501,0786608,0206010036,9.0,780.84
SIA,BA,202501,4028155,0206010036,3.0,260.28
SIA,BA,202501,2801914,0211020036,213.0,1096.95
SIA,BA,202501,4145542,0206030029,8.0,694.0
SIA,BA,202501,9837841,0206010044,5.0,433.75
SIA,BA,202501,0786608,0206010010,7.0,607.32
SIA,BA,202501,0003778,0206030037,93.0,12892.59
SIA,BA,202501,4389034,0211020036,86.0,442.9
SIA,BA,202501,2520613,0206030037,53.0,7347.39
SIA,BA,202501,6414702,0206030010,467.0,64740.21
SIA,BA,202501,2802023,0206030037,147.0,20378.61
SIA,BA,202501,2799790,0206020031,230.0,31374.3
SIA,BA,202501,2802104,0206020031,342.0,46652.22
SIA,BA,202501,2802104,0206030037,323.0,44777.49
SIA,BA,202501,0003980,0206030037,215.0,29805.45
SIA,BA,202501,6414702,0206030037,478.0,66265.14
SIA,BA,202501,6602533,0206010079,135.0,13154.4
SIA,BA,202501,2802104,0206030010,357.0,49490.91
SIA,BA,202501,2802023,0206020015,8.0,694.0
SIA,BA,202501,0003980,0206030010,208.0,28835.04
SIA,BA,202501,0003980,0206010079,211.0,20559.84
SIA,BA,202501,0003786,0206020031,627.0,85529.07
SIA,BA,202501,9443665,0206020015,9.0,780.75
SIA,BA,202501,2520613,0206010079,129.0,12569.76
SIA,BA,202501,2799839,0206010052,52.0,4511.0
SIA,BA,202501,6414702,0206010079,567.0,55248.48
SIA,BA,202501,2799839,0206010079,59.0,5748.96
SIA,BA,202501,2802023,0206010079,200.0,19488.0
SIA,BA,202501,9443665,0206010079,273.0,26601.12
SIA,BA,202501,0003778,0206030010,249.0,34518.87
SIA,BA,202501,4324307,0211020036,940.0,4841.0
SIA,BA,202501,4026624,0211020036,133.0,684.95
SIA,BA,202501,2520613,0206030010,56.0,7763.28
SIA,BA,202501,9443665,0206030010,236.0,32716.68
SIA,BA,202501,9443665,0206030037,232.0,32162.16
SIA,BA,202501,9443665,0206020031,124.0,16914.84
SIA,BA,202501,6237509,0206030037,11.0,2475.0
SIA,BA,202501,9866027,0211020036,221.0,1138.15
SIA,BA,202501,6414702,0206010044,65.0,5638.75
SIA,BA,202501,2802104,0206010079,37.0,3605.28
SIA,BA,202501,2802023,0206030010,150.0,20794.5
SIA,BA,202501,0003786,0206010052,177.0,15354.75
SIA,BA,202501,2799790,0206030010,194.0,26894.22
SIA,BA,202501,9866027,0206030010,64.0,8872.32
SIA,BA,202501,9866027,0206010079,107.0,10426.08
SIA,BA,202501,0004251,0208010033,48.0,18387.36
SIA,BA,202501,0004251,0208010025,48.0,19608.96
SIA,BA,202501,0004251,0206010079,4.0,389.76
SIA,BA,202501,9866027,0206030037,64.0,8872.32
SIA,BA,202501,2494973,0206010044,10.0,867.5
SIA,BA,202501,2494973,0206010052,7.0,607.25
SIA,BA,202501,4026896,0206010079,92.0,8964.48
SIA,BA,202501,2494973,0206030010,65.0,9010.95
SIA,BA,202501,0003875,0206020031,197.0,26872.77
SIA,BA,202501,0059218,0206020031,66.0,9003.06
SIA,BA,202501,0059218,0206010079,122.0,11887.68
SIA,BA,202501,4026896,0206030010,100.0,13863.0
SIA,BA,202501,2938499,0206030010,83.0,11506.29
SIA,BA,202501,2938499,0206010079,100.0,9744.0
SIA,BA,202501,0003786,0206030037,506.0,70146.78
SIA,BA,202501,2802104,0206010044,57.0,4944.75
SIA,BA,202501,6414702,0206020023,44.0,3817.0
SIA,BA,202501,6414702,0206010028,27.0,2729.7
SIA,BA,202501,0003786,0208010025,126.0,51473.52
SIA,BA,202501,0884189,0206020015,8.0,694.0
SIA,BA,202501,2520613,0206020031,46.0,6274.86
SIA,BA,202501,0003786,0206030010,441.0,61135.83
SIA,BA,202501,4389034,0206010079,162.0,15785.28
SIA,BA,202501,0003980,0206030029,29.0,2515.75
SIA,BA,202501,2489511,0208010033,23.0,8810.61
SIA,BA,202501,2938499,0206030037,83.0,11506.29
SIA,BA,202501,2520613,0206010028,7.0,707.7
SIA,BA,202501,3374386,0206010079,43.0,4189.92
SIA,BA,202501,0003875,0206030010,130.0,18021.9
SIA,BA,202501,9922962,0206010079,239.0,23288.16
SIA,BA,202501,9373845,0206010044,79.0,6853.25
SIA,BA,202501,9922962,0211020060,75.0,2250.0
SIA,BA,202501,9922962,0206030010,57.0,7901.91
SIA,BA,202501,0059218,0206030010,40.0,5545.2
SIA,BA,202501,4422325,0211020036,68.0,350.2
SIA,BA,202501,0059218,0206010010,16.0,1388.16
SIA,BA,202501,9052844,0206030010,2.0,740.0
SIA,BA,202501,9922962,0206020031,81.0,11049.21
SIA,BA,202501,9922962,0206010028,75.0,7582.5
SIA,BA,202501,9866035,0206020031,72.0,9821.52
SIA,BA,202501,7033974,0211020036,593.0,3053.95
SIA,BA,202501,2489511,0208010025,23.0,9395.96
SIA,BA,202501,0059218,0206010028,41.0,4145.1
SIA,BA,202501,2494973,0206010079,66.0,6431.04
SIA,BA,202501,2494973,0206030037,65.0,9010.95
SIA,BA,202501,0003875,0208010025,19.0,7761.88
SIA,BA,202501,9443665,0206010036,22.0,1908.72
SIA,BA,202501,9866035,0211020060,85.0,2550.0
SIA,BA,202501,9866035,0206010079,213.0,20754.72
SIA,BA,202501,9373845,0206010079,307.0,29914.08
SIA,BA,202501,9922962,0211020036,271.0,1395.65
SIA,BA,202501,9373845,0206020031,165.0,22507.65
SIA,BA,202501,2799839,0206030010,33.0,4574.79
SIA,BA,202501,9511377,0211020036,141.0,726.15
SIA,BA,202501,9373845,0211020036,323.0,1663.45
SIA,BA,202501,0003980,0206010044,35.0,3036.25
SIA,BA,202501,0003786,0206010036,22.0,1908.72
SIA,BA,202501,4389034,0211020060,92.0,2760.0
SIA,BA,202501,4389034,0206020031,106.0,14459.46
SIA,BA,202501,2802023,0206020023,28.0,2429.0
SIA,BA,202501,0003778,0206020031,185.0,25235.85
SIA,BA,202501,4389034,0206010044,23.0,1995.25
SIA,BA,202501,0003816,0211020060,31.0,930.0
SIA,BA,202501,0003786,0208010033,133.0,50948.31
SIA,BA,202501,2938499,0206020031,49.0,6684.09
SIA,BA,202501,4389034,0206030010,56.0,7763.28
SIA,BA,202501,4389034,0206030029,33.0,2862.75
SIA,BA,202501,9922962,0206010044,24.0,2082.0
SIA,BA,202501,0004073,0206030037,36.0,4990.68
SIA,BA,202501,6414702,0206010010,73.0,6333.48
SIA,BA,202501,4389034,0206030037,53.0,7347.39
SIA,BA,202501,2802023,0206020031,150.0,20461.5
SIA,BA,202501,4026896,0206030037,80.0,11090.4
SIA,BA,202501,0059218,0206030037,58.0,8040.54
SIA,BA,202501,4026896,0206020031,70.0,9548.7
SIA,BA,202501,0059218,0211020036,309.0,1591.35
SIA,BA,202501,3948684,0206030010,10.0,1386.3
SIA,BA,202501,2520613,0206030029,2.0,173.5
SIA,BA,202501,2660253,0211020036,6.0,30.9
SIA,BA,202501,0003875,0206030037,73.0,10119.99
SIA,BA,202501,0059218,0206010036,11.0,954.36
SIA,BA,202501,4026896,0206010052,10.0,867.5
SIA,BA,202501,4026896,0206010010,20.0,1735.2
SIA,BA,202501,4026896,0206010028,10.0,1011.0
SIA,BA,202501,6292550,0211020036,98.0,2545.06
SIA,BA,202501,0059218,0206030029,12.0,1041.0
SIA,BA,202501,2494973,0206030029,4.0,347.0
SIA,BA,202501,9373845,0211020060,56.0,1680.0
SIA,BA,202501,2802104,0206010052,51.0,4424.25
SIA,BA,202501,9922962,0206030037,57.0,7901.91
SIA,BA,202501,9866027,0206010044,15.0,1301.25
SIA,BA,202501,9373845,0206030037,106.0,14694.78
SIA,BA,202501,2802023,0206010028,20.0,2022.0
SIA,BA,202501,0004073,0206020031,49.0,6684.09
SIA,BA,202501,9373845,0206030010,109.0,15110.67
SIA,BA,202501,9373845,0206010010,15.0,1301.4
SIA,BA,202501,2938499,0206010028,9.0,909.9
SIA,BA,202501,2799790,0206030037,80.0,11090.4
SIA,BA,202501,6602533,0206030010,13.0,1802.19
SIA,BA,202501,2802023,0206010010,29.0,2516.04
SIA,BA,202501,0003980,0206010010,14.0,1214.64
SIA,BA,202501,9866027,0211020060,115.0,3450.0
SIA,BA,202501,2523310,0211020036,11.0,56.65
SIA,BA,202501,9866027,0206010028,46.0,4650.6
SIA,BA,202501,6988423,0211020036,20.0,103.0
SIA,BA,202501,9511377,0211020060,32.0,960.0
SIA,BA,202501,9443665,0206010052,40.0,3470.0
SIA,BA,202501,2523396,0211020036,293.0,1508.95
SIA,BA,202501,4026896,0206010036,6.0,520.56
SIA,BA,202501,0003786,0206020023,17.0,1474.75
SIA,BA,202501,2494973,0206020023,3.0,260.25
SIA,BA,202501,5889448,0206030010,8.0,1109.04
SIA,BA,202501,0004073,0206010079,19.0,1851.36
SIA,BA,202501,4389034,0206010010,28.0,2429.28
SIA,BA,202501,6414702,0206020031,146.0,19915.86
SIA,BA,202501,4026896,0206010044,25.0,2168.75
SIA,BA,202501,0059218,0206010044,21.0,1821.75
SIA,BA,202501,0003875,0206010028,2.0,202.2
SIA,BA,202501,2799790,0206010044,21.0,1821.75
SIA,BA,202501,2802023,0206010044,43.0,3730.25
SIA,BA,202501,6602533,0206030037,14.0,1940.82
SIA,BA,202501,9866035,0206010028,56.0,5661.6
SIA,BA,202501,6414702,0206020015,17.0,1474.75
SIA,BA,202501,2799790,0206010079,198.0,19293.12
SIA,BA,202501,9373845,0206030029,28.0,2429.0
SIA,BA,202501,2487756,0211020036,87.0,448.05
SIA,BA,202501,9866035,0206030029,12.0,1041.0
SIA,BA,202501,0003875,0206010052,24.0,2082.0
SIA,BA,202501,9443665,0211020060,325.0,9750.0
SIA,BA,202501,9922962,0206010036,11.0,954.36
SIA,BA,202501,9866035,0206010044,25.0,2168.75
SIA,BA,202501,9373845,0206010028,64.0,6470.4
SIA,BA,202501,9443665,0211020036,632.0,3254.8
SIA,BA,202501,9443665,0206010044,24.0,2082.0
SIA,BA,202501,6237509,0206010044,3.0,735.0
SIA,BA,202501,6237509,0206010079,28.0,8260.0
SIA,BA,202501,0607126,0206030010,33.0,4574.79
SIA,BA,202501,6414702,0211020036,400.0,2060.0
SIA,BA,202501,2802104,0211020036,985.0,5072.75
SIA,BA,202501,2494973,0206020031,49.0,6684.09
SIA,BA,202501,2520613,0211020036,163.0,839.45
SIA,BA,202501,9443665,0206030029,16.0,1388.0
SIA,BA,202501,0003875,0206010079,22.0,2143.68
SIA,BA,202501,9866035,0206010010,13.0,1127.88
SIA,BA,202501,2799839,0206020015,3.0,260.25
SIA,BA,202501,2413299,0211020036,68.0,350.2
SIA,BA,202501,0003778,0206030029,2.0,173.5
SIA,BA,202501,0003875,0206030029,17.0,1474.75
SIA,BA,202501,0003875,0208010033,19.0,7278.33
SIA,BA,202501,9373845,0206010052,7.0,607.25
SIA,BA,202501,9443665,0206010010,49.0,4251.24
SIA,BA,202501,9443665,0206010028,26.0,2628.6
SIA,BA,202501,4389034,0206010028,89.0,8997.9
SIA,BA,202501,3968537,0206020031,8.0,1091.28
SIA,BA,202501,7037937,0211020036,13.0,66.95
SIA,BA,202501,2938499,0206010044,18.0,1561.5
SIA,BA,202501,0004073,0206030010,42.0,5822.46
SIA,BA,202501,9866027,0206030029,23.0,1995.25
SIA,BA,202501,0005428,0206010079,37.0,3605.28
SIA,BA,202501,2799839,0206020031,18.0,2455.38
SIA,BA,202501,2494973,0206020015,3.0,260.25
SIA,BA,202501,0607126,0206020031,17.0,2318.97
SIA,BA,202501,9866027,0206010036,6.0,520.56
SIA,BA,202501,0607126,0206010079,31.0,3020.64
SIA,BA,202501,0607126,0206020015,4.0,347.0
SIA,BA,202501,2520613,0206010052,7.0,607.25
SIA,BA,202501,6602533,0206030029,2.0,173.5
SIA,BA,202501,4026896,0211020036,126.0,648.9
SIA,BA,202501,9866027,0206010010,15.0,1301.4
SIA,BA,202501,0004251,0206030037,11.0,1524.93
SIA,BA,202501,0005428,0206020031,29.0,3955.89
SIA,BA,202501,0607126,0206030037,23.0,3188.49
SIA,BA,202501,0059218,0206010052,4.0,347.0
SIA,BA,202501,9373845,0206010036,9.0,780.84
SIA,BA,202501,6602533,0206010044,11.0,954.25
SIA,BA,202501,9866027,0206020031,69.0,9412.29
